datetime,MAIN,SIDE,SOUP,DESSERT,SALAD,BOTTLE,DRINK,ICE_CREAM,SWEETS_N_SNACKS,BAKED_GOOD,CONDIMENT,FRUIT,ALCOHOL,OTHER,TOTAL_SALES
2023-02-07 13:15:00,76,66,15,35,27,16,0,0,0,0,0,0,0,0,235
2023-02-07 13:30:00,74,60,12,30,31,17,0,0,0,0,0,0,0,0,224
2023-02-07 13:45:00,67,52,15,23,32,13,0,0,0,0,0,0,0,0,202
2023-02-07 14:00:00,34,26,6,9,20,8,0,0,0,0,0,0,0,0,103
2023-02-08 11:30:00,35,39,19,28,15,9,0,0,0,2,13,0,0,0,160
2023-02-08 11:45:00,55,53,12,31,17,18,0,0,0,1,9,0,0,0,196
2023-02-08 12:00:00,63,50,17,32,28,19,0,0,0,2,14,0,0,0,225
2023-02-08 12:15:00,76,44,16,33,46,26,0,0,0,1,11,0,0,0,253
2023-02-08 12:30:00,55,51,17,20,25,19,0,0,0,1,12,0,0,0,200
2023-02-08 12:45:00,36,32,14,24,35,17,0,0,0,1,12,0,0,1,172
2023-02-08 13:00:00,44,33,14,19,39,12,0,0,0,1,12,0,0,0,174
2023-02-08 13:15:00,43,37,25,21,33,14,0,0,0,2,19,0,0,1,195
2023-02-08 13:30:00,39,39,28,15,30,10,0,0,0,2,20,0,0,1,184
2023-02-08 13:45:00,28,33,20,15,15,8,0,0,0,2,15,0,0,0,136
2023-02-08 14:00:00,9,19,7,3,4,2,0,0,0,1,5,0,0,0,50
2023-02-09 11:30:00,75,28,7,23,25,13,0,0,0,0,0,0,0,0,171
2023-02-09 11:45:00,77,37,0,23,17,13,0,0,0,0,0,0,0,0,167
2023-02-09 12:00:00,79,67,5,32,21,11,0,0,0,0,0,0,0,0,215
2023-02-09 12:15:00,70,52,7,20,8,22,0,0,0,0,0,0,0,0,179
2023-02-09 12:30:00,53,51,5,15,16,7,0,0,0,0,0,0,0,0,147
2023-02-09 12:45:00,59,42,2,23,15,12,0,0,0,0,0,0,0,0,153
